bit_length, total_bits, random_multiplier, rhs_projection_ell
19,231,443466,56571569656629512741528162476680042479360051539864815807344355549538361468809
19,231,388811,11175338370866939895317786117262289748821453364498911549189177718783723582651
19,231,451692,15959290035591080619542920048081552725911926099051063728982444212012303984270
19,231,270910,53554406306754500788245897809058590842350374655021539377327796767354012417188
19,231,518898,49695653295352344323488251283843027211904932460882623254810495532841339927693
19,231,322968,93835190032500063059085437850804897748229205944913386008178761588929497891276
19,231,367412,3853302010076543594017432431848965880653435953233075799919815568859249994612
19,231,377138,91959778696847513030314595419272199401723700451031707112621330220726454378199
19,231,274630,22730835707226131541636446582364520747158140329540675691158784779258920257527
19,231,496746,98897886422806262628578623690130926438736126618614092782188779804154508201474
19,231,503241,48829503579541789096702236702269046906160467912090919271483133375135834548064
19,231,463656,22132430550439855843277109349264839776722632173740748272880377345470730198312
19,231,479400,93110080463997120188523048631194774256996975755496515942250179734918385980733
19,231,481341,79473540970923042341183922032086712865628852073869013469991036588245699893462
19,231,355494,83433971648143546959366171546299199537699919474029587387841588943496818867058
19,231,288344,53220161301912241425368424554342667394966577008018876486195276143564066233858
19,231,290600,58758462511020152054646658499754217339989399077277918091350540192669971918305
19,231,515239,64927120685108551950041973121486994228370420102489517280753031557455868455884
19,231,456300,95304738851686081686683256639975057862267310323564235931489200776583593951416
19,231,472449,43531971200236342487836143426783786272193098819689795470092952275751341894892
19,231,500910,55417021152573250691390772973083901802236691189202061115760587640619289060509
19,231,447135,74526527707333418477404804966305144188593998372185229228309036514537967726278
19,231,496337,24550031993337409375893984893090529168014111120549811376270207851544967330525
19,231,371519,13432314019835534278929645435244195173666820781539976540897926094793760558786
19,231,323613,12106915764673875970367346969381546888363350193224931215141064491790766529440
19,231,504894,59998190669974332234321057956973407709386557345694782760183668633017518351687
19,231,419490,89941627637115641018654383003559043637485995855393245381976361416245233910961
19,231,358172,22948141484184336694212523562547197038780146169971421799851233951128736415905
19,231,311180,50665278026146496162660392960843594855641642509007890809023602357203083603186
19,231,506167,2817687077135428695878022527800112648855778523436652526678602058399438487002
19,231,325167,114275201308034223103865786222685174739928537053975592759217438710038695894649
19,231,285497,11751314276629863328222745827547828389305859512143080278065124129855140728120
19,231,437951,71534885248431544181720971746738679383041570607568137761472844478807352875508
19,231,323731,47642958877125940756790203087164590428873881117955719193971766473244742901572
19,231,421116,50994121573988917723137708934413522367710359951850602056159106868204088538697
19,231,321401,89939301431373069177559305144213177930010197660814295536241942711607089838127
19,231,490455,51241934912440799920980675891114341373353639360271932254299964053906438221041
19,231,375805,82025309397045615004786471400969256451286974100515692043450814308306411830096
19,231,334019,69933988380634728484996579142901515411287059073949748852838970215026057497090
19,231,454912,56929707866864592665739881721397477448030517896069108691912415244267978481414
19,231,519151,103975983778178461717009805020055635358399568897846040016669986421889909863521
19,231,287726,60257953091120111428906821980593903370734608541760680881300966510163935901991
19,231,481826,48092040749402486263885672741277088652589885630630250332415092346282340922023
19,231,369055,9642031831658819447621339125147517079855498778158249765115448093439167401349
19,231,303486,67489937219128691481355145900921941659327579266236349201561348137326334415863
19,231,511902,10095982028057695264445413515192551326835604075420620980073712931507547264088
19,231,359635,12215069034928621904368056225765269670040097968061971232131848454489166932286
19,231,371137,79296636595663545821668662462497316325803547104293022063535900680834324286860
19,231,505002,56374626476009200794943515555442425657091575520662101704659251685955077377151
19,231,311186,49153232894021840785789203044591398488617777837974189380813630897824079588881
19,231,288791,111450879116860337225496897056901176689469049446758093214361891694811858287894
19,231,316130,40934471451108646741961591928398206183964950820787965631909926971359792572866
19,231,457285,95964624922155731733858806255447049055461655704169947116471395612573517698748
19,231,435169,18320546631962670452341708660455182817073315171303436462103806469861930738512
19,231,399367,73470880563897473498460983868375272275518491104820233980009430065049774343780
19,231,459109,62432944728317403666579694029489973562771769117593337621792382300341186310199
19,231,446475,96937499671498803318168167550064196045274100511557842035365486698604905081234
19,231,300177,52013733889120626386375705473311874329967680532460108256770118591572948828365
19,231,418485,61007407250004913474694886303542144986579234410411039610146263590085370480111
19,231,460840,38771134362535935331024936520776761750547847443985153178625646311170391003273
19,231,316536,113310975244584304145318099492062876852212161730888596854466392233490267806776
19,231,382733,74228086264108171122770959834816859095027225035548678007309601057671043402670
19,231,280789,13802639204113061224682551086460678928572353677369139505847616319862182620391
19,231,409204,113306373694485299001042332994145914416470837944748347071221501610080201190590
19,231,465737,71513158109801514786057189416915557694891827045544251568260579077483042396080
19,231,279142,15446315660495319420996170254127127379936527533453620367492997426331814829019
19,231,501086,75278027458016304942010749518740628645420652732312891782634846050440370873792
19,231,399651,8883778262382121950182621510332872236666428314769210997361569383724871162677
19,231,419608,77524600837145297042178627027456553872421704874799151146253132225695849156469
19,231,387202,59381083007275470431189760175296779397156915176162318084029011318118745954472
19,231,306095,71749809342338769266542691440260639541065596312896423046289144430470607951696
19,231,476688,34921626361925845165069555796810696525717746331464717488608925821764157235794
19,231,288972,85080226249897863099039688376449050472745686137020229497300415965678426077684
19,231,482302,97475342201690045588189282506021941045777119795018013695340771000573259204053
19,231,303739,13353220451566973717943742091268346318814772324126260472562347632866929577196
19,231,393304,42579878543662968008903053487814242424981367678093971616969647371912485214674
19,231,389255,39485954248274621506905184844637770973220448821099597609983544914206792418979
19,231,298192,49173445519672386124615855988124578522390055516967320377193600248161186661096
19,231,434357,28663033803547330345590655416430912742269052065667514407616351491190696308702
19,231,361954,105214348869241348741427182752417271814942579718233302523057383302136489409612
19,231,367849,31338747967499773683531624769242374876612861003066097434444725436420363379187
19,231,346278,115437023816057185059900654805490191345222425807724469991564656285352926999070
19,231,341662,89054009775503671556953496081301528383882816463819828848274254596938892011777
19,231,370446,24761664389750663607096945683143617712951631530777889567071121792279996325352
19,231,337941,95259399771222614919420769895485031121710860813187966817893096919935911393352
19,231,481954,51157813748452583001479691507564752608756890987985644983143684620298940913348
19,231,418658,8269266369761661740489068189294722862516715223370099963183546607333511715660
19,231,406563,17865842683505898195487957132351805132336421286113033066766257022471650289151
19,231,517605,38601055933759864259575266633699945696853187719879012431875914561256500231965
19,231,320116,91534380402830978098370113937774168344579336086708989221304208112691909375048
19,231,461174,97974628836910428779334823960372458362679222448725456587689564939786815343686
19,231,427329,87771963634682704631843034730925083980302142122515041942006582300521533741213
19,231,476675,35023448904918824839033376559515006952550657807732584821182045640111892019726
19,231,303020,67479834569182043664569556923625388317846782872115942601912147626059410896583
19,231,428584,27646828244243977526268119280357704059067250639946042306141242323383073200344
19,231,456077,42262931417755791724327342956068219828980061365506423702338361431248228697982
19,231,325582,67664728155300320885783447514497927909968352647738489587356647833765904389728
19,231,393943,56096028928824309282708238299302744507606696866696316737636391666810225453946
19,231,268564,99341787649914970328922689092222139692433595846471632164864793156265899145951
19,231,341481,6114413219745164879447457879625227191051136407211758870784730243957388827416
19,231,322503,1401575205127254827510353753794753470595561716247915610027257289524898681441
19,231,384884,96082616741373134346343361650177417141534290840368282111415001276454062840289
19,231,279145,46713998738900508087691629630749783151169382617740640228128484996355171199118
19,231,285404,60562511754093560393022193322403678697417953176547861445747358760203697354786
19,231,518528,9047163440077432662461912342042002531066925525469746271152167580764540288922
19,231,503527,30316239066332992401110834765321761448803838599007025408136104539398697090000
19,231,402275,53596863039645740192801036728742214699013967747779905725664570585379033638849
19,231,348148,7168152352275400811152081752592401318381640554529099065091091568610197346292
19,231,360318,68390821130940897574610404453291295908029859610241184007831795901293898508796
19,231,370029,78966815115769003495917964274187288959061297592663212241283674055736729482278
19,231,284386,48623521431816148768285436331156137485429513472833647381943460515627412325762
19,231,495850,65145725312432040936344179073515786840424258825162194048170243787767927340139
19,231,339516,59706867954727265348069456876962159474223111709877087496564291216896914837467
19,231,408563,94294908062269240291998134057869397196095110980126635144575670019365418151335
19,231,333372,32267934644795021096941532311576900921237517035045391912967341266350011420796
19,231,300801,14813649325491313153463000062977927234624261636038701651402027726067754330034
19,231,461624,45275414847499673833850344612971338464812992829734562952923617821890971397417
19,231,338014,56641689397738281853852306760443925941369906411374463755230675156875351474281
19,231,398196,83506741443002628580633802013756796202219728007899822513650684730063806538363
19,231,419401,90147102910982770897169830581085149224187900938966860665075894025531121229530
19,231,327854,3484142909796797565185212362390220931600480508744907378866615183594933494154
19,231,377352,34215654682842930517034781685665396357609583972812129989546452812478325093380
19,231,454606,33405646496459161461933892234812370091137933634539035661165571459188553185189
19,231,306292,8245683410312433578281651667797374402016421573193793882421260721613745347564
19,231,264104,67971341762142747646687499424894273387732747993330924880727857644520001341180
19,231,444082,235321914241346831024620785199812054455936929809734158671004202306335459778
19,231,294861,6143617253685600715631484173284212332639167995425518126297713597174560357506
19,231,325785,106294425772758033017870771461963052306143642203133055213986505722238097368716
19,231,282253,100687218316121794702975067079494053786942129378269052345638750632985659214389
19,231,415951,73949170008888704979170645050958253556457966052521852910123736168982359379548
