bit_length,total_bits,random_multiplier,lhs1_projection_ell,rhs_projection_ell
93,228,7855462158132547954472229519,58093470007036547171181838541895809115619813924558216204712949613324891695264,76144698086112511692025689656231716166596994027254211972667177742327900543688
94,229,16046061329661758883094954667,91159323759611741836561809260488796691762284769526759712657091826107322804099,9368382635195824252330401173384807592313676022894479910670195883174358322562
95,230,26036084295436008286083769941,95253162657011949701971615426295999991844543019536508006774344664423010265941,54348540100730780442038338742473358506465294432453557883616119287097507312876
96,231,42213564980188128693368840002,26686605204931884943814438204531739442893138171342651224860902913663928129382,23789274790645876030664053811953250686835456314438389837962676601026451862364
97,232,154833358291205886639819727022,88000436642394360012480939961497861312262858141631997989542587394143627328101,92440365641288203881094917201801323039887785339101873244182360769606687907075
93,228,7996076797394570791107165089,58303032002247841433652629446658520276320151841304855803001243040612619877637,4919068128508384185210120903834592749666010648668956307780501735992473816127
94,229,16609532210549108506736529383,584567755623604008313051488225579944544911481883382254087208676527633505540,54810521312345251790955765802566095533113037263240012177048220841939194235796
95,230,33428937537625475008845726751,32247826216439455609722148165141069142552655459028428981530578325330390418651,76429749760705144721894846642912267640387167341366929418740506830550214501796
96,231,73232378471459699661547268563,103987425342996763036393259844116430915636726870988408631959349016924297999758,47155877157412729289618676961110981590384745270164461638477599669472855615994
97,232,91457727165834646378740729497,53142098978714808593532462214258500049709450892555985541673360834347830934494,50989218218604417183937328423462875023887368631260090577774017305914388110348
93,228,7790355471366735927641694525,53679467425954259006541343104777028047273652826605723519452330528010870129178,47444075617144448979343999636878472423349365435378753452560497962319071857559
94,229,17225767344996761820017074012,46100615063969315567946593854597430328679024937935508135381548887606434851893,72040547894457217475935992347958378013159008360162865134029969942862233130325
95,230,34018075505053888013500516979,97386827087002327987665712849378839345272555274448324847372369410689590019819,28014593058463568633293218548194863546845429791892213830471980981372432332416
96,231,52967128988635939280884757760,31565812499361578892205599864358481047223336797127184545215432649809997952071,31514679318432448239937014601273973034773705589646792100085332004247754119515
97,232,105590324231642121987182663682,102217296244643113240773151610695258658283627670411742911950859450973592259687,113415786794616440498240111478312203030836918529072060651508100653930361618069
93,228,5854993286159585932515159873,52382626262971005027879103295431689625578548455515019076752565416259423709659,3761847657789035166356469794302303758191481068782956354423444132206599072427
94,229,12519761107158820939851156757,114156584921860288708510250504178918466490474493022383257730808136682300545702,106169787394433817333429722653865569583587124671680670400339418188180332502789
95,230,28557339652901958042210037711,7791602615388497576792119849410471684953154690919706081172232084730762477017,113985764276078644061128108170115040670568614515557918094778819124621512723190
96,231,78353057672960163971974591635,9839146661831617632981050850580544868932548749749856336277767683426177657485,43795526491362739733628286029000821263723051170412795390274130958739932300068
97,232,107396059899625844404583565086,39620167749785927574487929139333425858469405880455801122983611439415312496862,108066452291923848412364046676926368728066187740372672241633053290731573168475
93,228,5207510569641312187380432215,2876071217510536392372153222847580805343392995149470884959659771038341532608,54614584919763216779488888164270695622040751562222427044622337097848619685628
94,229,19030142696121863929482532707,96087026917120180243398653414658698688803069208224906592303411027824154295845,38117092973226942864616437030171769549439653109112158656677504941197452750212
95,230,38865059321033560991882230353,63965208115913486810467381707522032487160681323252613646263002664364939475951,1620874136237522415916172684107168749293293533659258547090116762259169526199
96,231,50348611754129929967227797812,58496962139274141140858267007651159817939016699752917892338661303139162081163,46884536851655483393450204467804219806609522434358396642836392579497392147396
97,232,157930002553851171126802171345,71963621819738965218432598518069609801157979691074873202329627895066701570360,55306157254497203392596643224545025024070355038511557732584182271238487440012
93,228,8977774260934238322681694347,103580070475963304008056029529074349773080595537412150893010031585800865859128,36128022615418403062753369284673875144260980497183522089640886448948431593629
94,229,15140932656312720685994358599,11511171837115970384130873205412830948585537977373734438706191983147309383014,27914278519788747466060225684681186881498138207553570597037835172963129692835
95,230,26740688334401883042325702406,29654170061409162831374710382977978451540291536213506857606437033683295130841,60533811541195475228885621446986079447168762780098221510109120496132270421346
96,231,68731485423416775883168086538,47509107850030582623986267440120817711109974215759733560623372795075894520060,30225300084020406235443834854390641812021874574312090592609486078788714176636
97,232,111659792027532792911029391402,9761928007199250891581247164500122271817791679884610040581315097467295691811,30779410445127279402007825658964788433215081022343397984297578421645766533072
93,228,8297131755842143563074361494,111727394315676824987061889583478276880622309068700067640971221303334502747739,23405807861149718769496179334857449483158687826818765109739952456855306720579
94,229,10092071206416440330826781342,65690469894740947532802230387607901854959787215239559614752642767109103005708,1633943809041450183303629836355955348480815477951343321844736368800246360874
95,230,34145157591048001220057732159,112485263406191962040632756446331575014468545232941900280190200085849844446758,79293509825908351502898300335288819173636401409016888484811918603366557204195
96,231,59665837303052829644105037728,109391386900788981914168068245264466159306933914137224272076721272607523312640,86811285178097439664537900903325639223032175641380124354522448692070158650270
97,232,149470656095772766148960733368,38347758521461503286562095533066048992852158893383143839945027333743682930668,92590366145678162834141198993851330797188760068468515533665723304318252784073
93,228,8436242656142783462295705757,42722899950062056124970703197290107921395233810668497098896639096328832671959,40023954450150896358087218119514915760081337723839982432110431794639185899093
94,229,17899763873301249994218552115,102329016462400397420433486301773239041540976263977530607250850316297466336724,24861681414972745448327279706265923669922203996043512685943063291490348775172
95,230,29174604998282295602508690461,96118562649685442333233236693617919455563150346555529694443187694564627793525,89237373369616271124542662685932480759159705603747289153047401247069971865777
96,231,43118264812096121087512557203,48964423435716684745423892680166002724626403529505183815156062770893706602695,46362810929879427441293653427782206711761290403541949235003890648512654293399
97,232,141231375337590093474486746685,20860996358529165268790427702016852638849344899844789405008326070849515909826,55135225238434016628163239002648038117556672270246492554075111906752007884378
93,228,7619483907050452606120006945,40052298293419312997947736018830657635647720221982361929592322880740223849863,18080333115456875554958997046611728076297951124837332293204836363521698347818
94,229,10721730545765125860372088529,12460185232438164839420012794332054593547409338445205626810647639149659945076,54864609822400448266736961499334663743173488020057391240690106374603124563851
95,230,20806879999124029156022052021,63344638282807005468281096493344347422718348540004245831652133549166756157397,61501186604120527094914964018945275389517302013486069541078364410427232623835
96,231,48680493015338624810554654934,92535160732238747616160192583904397500782876496454832772818636070098283168358,80516028175143919221015814045757526347089128474368007584557287233362828120688
97,232,101338669078988914795630706969,6964986607678213688157874570929574282777997583984074370846075466440060257092,82277267068004592023739414142791161417933358205579043796632722516067882403457
93,228,7092495008415921232211080941,1634400589570138731596771252793536329582798785929905049282641945872139356790,49999368967668582578098149944816119709588901249013325006744679030938373049600
94,229,13939728907094407853816424333,36346953620303574173653153730814105552320420009840170255457330195904844078124,100128699817139910389384459110257315908661811332015599444997691717921076106618
95,230,38546811333880456599917603083,13141202798341658397549309274896783564933529867396909223492636603717130882398,97884418157264093899299068638828523897468461620327878556666826421759567987901
96,231,45342908514112230246093217135,82682579011428191733540995219918081680247587144065479516176996397875719868033,43243158872007346049664245932578117143793550261160753146772197401720856560020
97,232,150940645128017342247047805117,33109393562539292028911342599760136661834017194895984626070939734074990410430,115696091399867871893814851306245443999867312807636082710762758070143381222803
93,228,6605500157698356405669160438,91076202798001791808587892803819735753738762440955841618801955314824930055888,68506696940914907306533116580072387533253098913394640181960071496885601159953
94,229,15797799965525680257131248518,70162658211480276789929929776431230548734029719838386053528112661185477891591,92507193857054380384863531619525429960885217350658970469926791740557431673200
95,230,31273541550631372762825153626,48101015252010976385972368182486985561445288601658149381128910313399285114885,9488041257611984477210596023524628312564294878578652170369047249340624374360
96,231,62428927516093883033013564930,64552228363791122864942536061536680494303351952248884053742129815333450451183,25205590931749606415464846714782773118938182240016789645281187861481345692704
97,232,148229109688648594472538580403,61973784176338620846244548766905699878602474311278128042331628814852783987073,68692335107430924757524420195691984237683549313327907259958896954064065072786
93,228,9829151082785886780179680907,51110465159993166344706877580765368643691577662195151969742478844159367618545,48179810250716782684326437767740730391109819674837201013920516173442946042122
94,229,12585642847580251021630521122,64613342204495423435195104146385707257899784679597762301617281918529323757947,52690317379035282984657661178042581135622932360698386192083782386225659026373
95,230,24466565990427127560188419359,94800460920766476633192062798528563093038635261425907643021108890836470960929,18374348333747683883788236510155118181832086780262156403879762331133319963728
96,231,77889720069790708727782995609,57557274220252989505627900715516618977996533014891769778828964322279591435336,96551540567893077135463633004925214081306770218782106868476329550915518038333
97,232,92311387609716119683521759523,84609711790536220924205297984039275256012210900444523927446026192606824129037,41222079032626670203879247458903862346909084098407583084560611685707604997649
93,228,7857715325420998340739126398,4029254833689264840135387708494078374432849631605949048330091137980373406556,34260457313840481367247176197330821385116204675471894063294988486990622807524
94,229,19336685705648087299728920289,82689861205128027388175940759019000670841159049240729635880287932767324697709,85385366812309129998594548150985618153361621959899046049064645685301334472509
95,230,27777318410564035346807292102,86920338101707460200511478457733888259104942005150679224867156018670269627604,87209362942159434940166102709207897268633673675731782689482847192561992756451
96,231,49734837899504740668358795734,102393933234003206932896209756867127329719426888233825086723419857203649807965,109145894674240013494771324008767401000884490879260951642170022112163534353952
97,232,140966559986625986957336332103,12465862093309519347095004329728997882292697893478993970287924650274854607569,58020536236946219987665879265819300207163026689908657609422382168156379210553
93,228,6453929172391084905543319131,417261524719003962845664524907566324868151414829342624353933332768506804127,72764366792216156786395711393993357017155529710162880242815514710062780101484
94,229,10187434752492768747949455402,22845077316641443321760434551350096028210998561046080059996331229031489163791,14467519872758628356740207947682938479583496233307605228273352939603260876056
95,230,21190733559394732585898535779,65787059540792116639825845952356695132293200172147599997363848414062941142312,110882281112866722564479322996905063031328934029273464740470211366438159283247
96,231,69679197093022651553833637962,61227376762358299798788612722375984503092679762126616200689744464357339053918,17099072281689636274111827868472444375035135604791584959611278906279500139862
97,232,140962922175792525188544491870,32313898434490086039189417413461074006666699213412165178975815630228331539085,18479054004913974469621684891182055921829671947628765657043842587764879436702
93,228,9903111481369876751154355116,115337867100418242384602253768287466402712401352209792313309665469739574771973,15306972875345518607154388935758962649876312711021868499147689582064698304531
94,229,18730920252123774539270099348,43221717593775426708134449058203256905664054647949375152093665745468896516388,58757998300919243937626038705505427540661252319984072323785852440371955989736
95,230,30018158234167756638471131012,111142970820790488012752717384400283359342960801758420175309665478725042822218,69470351146254432698469055606471860284396426795889044206675851106842332102783
96,231,73601972789598780133709218449,7699624083912526312017456226355616404641101193182201162446300011877795190932,9293975947874066111815172393109542993374616552057932675707194002723244083324
97,232,134024995919819003071479025283,93214256030384498237137990506552995127002368242183231897165250270217397426340,35061979097027751756213532918803000744300913361672538467369012368992152497032
93,228,8322314160931740188647866771,59670540553230281374107085585965845496590642139074917934447714181446875255285,47470443747928388653028311001660745557811451955096230961875684319165023210025
94,229,10505138520157047011550441635,68309578296956029777135914900552968302998713127856530265407490526205267757214,110103312326593544904838867980646827748711217097067662931310148537995751762879
95,230,23772558765063055464222517742,103193130910955389939429012126282477056068559482079626544855374073490943047322,30533418943574881727835584948073555536036471113284883560572709511731387012312
96,231,57118947781920650361307692575,33579268295500517515276378064838343898323082816921425745905850285684679608280,36528399206247896488845475576665378900581697737333978007392137614034182443649
97,232,97892341190529707942599610791,109746532775001546260894386623208894254108410129703958025004626384549224311464,31004566141100398894697070364901827449501635094927768698584953165745025979638
93,228,5296820083151088202778601624,25455147802803451358202559536385757197904579170446393519252382121770102102088,75915663328560547756413870265787664515378800816938377814899141696675868128125
94,229,15524770138557530575882088645,97198494146192108962316722305404426015284484646141364354149826781340451227810,28838711507874449856865780245134165393573867471561366352170369557173839058744
95,230,27928640749093115081014796191,6426976895962810064544749206045347802689450947129334310763654881634354854562,59961734680712121340993232145051720611370354988433390844491629506661654475124
96,231,50601458158819751933462143535,9788923734831578790564304242972531328363445784517174333482651425072313794383,15336979018517485501612085277840459300646844308738227169456897313473260507210
97,232,100833177552246521474630101797,93169362163792574571976098378568738671401489252700761690322844459275362231724,109897152782220337284719160700479051119326171574977701416404863214996196871635
93,228,7209822092443471705907898355,38708555846306329442800891280011518912560687445693076714912560958628318089651,2646748170927550142999806797604778270229977084227149046460886931671197758737
94,229,17380573071611262106962326042,47959910273644079876272035428739181724790962834250503904156155752641636853611,9740746376821947524019519980636347713525410904256426701271293189041092279646
95,230,22852738659629442696093837812,1423469883659374005174808839897825200090003144701711301882842936935156266589,37882577154124021652866654729759796851880136717553536831357005269977935844721
96,231,45699794978565796237214883059,45355678512898711559103909194854803689369195573370410230748657035813671110263,78926302966601234117890154707806239319452087481104064293579283817819982962091
