bit_length, total_bits, random_multiplier, rhs_projection_ell
19,231,455512,62345798092640338250509977934475881131541839907593387691097790551087155630269
19,231,354173,84733063026611476611313820825683352422096024827324136452504129119729935471801
19,231,336437,53273066567998400848936725903329654264515674281847283721669093757875405054215
19,231,474377,7644701155216228083626801152287517932150170868438579013929807363053823927572
19,231,460544,14202756707244146316283060998175640779185631327048705399159722496387788840295
19,231,480496,91291371750159038155169078671491457679282903690182271142936039876924387851414
19,231,521704,47766166093548986398689377091581011496166872383610826141493947786087871947244
19,231,292824,80184390582587169361029120837915057466497303599224882626060015926199298315679
19,231,446558,44083017680136976101813965657591778469976094764621094393677235669947328374017
19,231,417748,60413798757670003338864005369710806880838715318105359174423327003680566716243
19,231,458510,65306392854684684255112948035327641452139643916753286319876604657768799630918
19,231,278115,29913974356133211915744278236394798557490288632994345482276035293591082496366
19,231,378702,58687339843691166213505100752993532314518039581518935513367363835261233786485
19,231,436740,101574938195539548734074853551474589959559081314799285635434498478943636177094
19,231,447111,3086907039185882485679799662833095371325304001973743929860264096120507296878
19,231,376562,65269284824240629516942725269892002322004675670535410165451931319328190459972
19,231,524257,75854653370683500746325824602914176365643095454720652288355337983662433924581
19,231,313668,97197180737622264381434251226413335439545446066103964864875712975094055963836
19,231,408749,94631326882893360917136052299626604938175160136989607372851310170567876289996
19,231,447799,95935739704382644174003176941640927112036605240560042782143292367094773728749
19,231,334708,112931375064156228155058702568544440972401715491230402858234796482530134274392
19,231,285661,78113960260493676062790231138500599262277765643539266537720016465549496185705
19,231,264031,41804278030980184718544078418804134495001462945528699704200620152118381020194
19,231,489218,2756174593476702162864767101044877469760845338281133248715926680442630275484
19,231,399538,52605593573820161874976020978817701121724690552967684430141142575344669396366
19,231,423434,33979247721763169739358611207605063966334495084381451801864939752882444076071
19,231,399776,48094663627175466719942430411842210583589705260468152217824287114371989949249
19,231,464492,67488566158630900515099879237642152991553475852519805265998911869049423872959
19,231,490311,78408857716375438261749503186149469812901625554209881504824161414593487530416
19,231,475463,43445387401025354991966496027710864739361310626899197115266672169405713288664
19,231,303704,78477800810758091131538374483059153727195933302786466800755002257464046535326
19,231,292795,6676714568755846631551353160700504118257714074717542529181991825843824509775
19,231,486422,88146916652204408110343666951432308455521025657890828787482013465983935449145
19,231,266890,2107160073118626680521559263814842328118707820629884832905809882921528575892
19,231,374481,29748338837369098782912890874505073125085720276557074140202372164182295067099
19,231,309833,39538950732115548957907460444776970321037759631979258762793666448275554243805
